Round 3 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,56,34,90
MAGANTI GOPINATH,Bharat Rashtra Samithi,5266,2401,7667
MOHAMMED AZHARUDDIN,Indian National Congress,4141,2476,6617
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,1337,1037,2374
LANKALA DEEPAK REDDY,Bharatiya Janata Party,3260,667,3927
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,15,5,20
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,59,29,88
M.PRASUNAMBA,Navarang Congress Party,8,2,10
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,5,2,7
ANAND RAO,Independent,4,0,4
MACHCHERLA VENKAT REDDY,Independent,1,2,3
MOHAMMED AKBARUDDIN,Independent,10,3,13
MOHAMMED ISMAIL KHAN,Independent,5,2,7
VANAPARTHY RAMBABU,Independent,4,5,9
SHAIK KAREEM,Independent,4,14,18
SHAIK SHAREEF,Independent,16,4,20
SIDDHARTHA CHAKRAVARTHY,Independent,11,5,16
SURABHI SINGH,Independent,13,3,16
SHIV SHANKAR REDDY.S,Independent,5,7,12
NOTA,None of the Above,87,45,132
,Total,14307,6743,21050
