Round 6 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,106,38,144
MAGANTI GOPINATH,Bharat Rashtra Samithi,11401,3197,14598
MOHAMMED AZHARUDDIN,Indian National Congress,12493,2745,15238
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,4742,83,4825
LANKALA DEEPAK REDDY,Bharatiya Janata Party,4863,1455,6318
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,26,11,37
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,147,27,174
M.PRASUNAMBA,Navarang Congress Party,11,5,16
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,8,0,8
ANAND RAO,Independent,9,0,9
MACHCHERLA VENKAT REDDY,Independent,7,2,9
MOHAMMED AKBARUDDIN,Independent,23,6,29
MOHAMMED ISMAIL KHAN,Independent,13,1,14
VANAPARTHY RAMBABU,Independent,12,4,16
SHAIK KAREEM,Independent,22,7,29
SHAIK SHAREEF,Independent,34,9,43
SIDDHARTHA CHAKRAVARTHY,Independent,17,8,25
SURABHI SINGH,Independent,27,19,46
SHIV SHANKAR REDDY.S,Independent,26,5,31
NOTA,None of the Above,198,67,265
,Total,34185,7689,41874
