Round 11 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,294,41,335
MAGANTI GOPINATH,Bharat Rashtra Samithi,27571,4011,31582
MOHAMMED AZHARUDDIN,Indian National Congress,25923,2408,28331
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5337,172,5509
LANKALA DEEPAK REDDY,Bharatiya Janata Party,10141,852,10993
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,75,14,89
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,326,41,367
M.PRASUNAMBA,Navarang Congress Party,39,5,44
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,18,2,20
ANAND RAO,Independent,15,2,17
MACHCHERLA VENKAT REDDY,Independent,20,5,25
MOHAMMED AKBARUDDIN,Independent,46,2,48
MOHAMMED ISMAIL KHAN,Independent,22,2,24
VANAPARTHY RAMBABU,Independent,38,5,43
SHAIK KAREEM,Independent,60,17,77
SHAIK SHAREEF,Independent,82,5,87
SIDDHARTHA CHAKRAVARTHY,Independent,48,10,58
SURABHI SINGH,Independent,75,13,88
SHIV SHANKAR REDDY.S,Independent,53,4,57
NOTA,None of the Above,511,62,573
,Total,70694,7673,78367
