Round 26 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,824,4,828
MAGANTI GOPINATH,Bharat Rashtra Samithi,77701,581,78282
MOHAMMED AZHARUDDIN,Indian National Congress,61786,557,62343
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,7712,56,7768
LANKALA DEEPAK REDDY,Bharatiya Janata Party,24979,104,25083
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,188,1,189
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,892,9,901
M.PRASUNAMBA,Navarang Congress Party,117,4,121
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,73,0,73
ANAND RAO,Independent,50,1,51
MACHCHERLA VENKAT REDDY,Independent,64,0,64
MOHAMMED AKBARUDDIN,Independent,86,1,87
MOHAMMED ISMAIL KHAN,Independent,58,0,58
VANAPARTHY RAMBABU,Independent,107,0,107
SHAIK KAREEM,Independent,196,0,196
SHAIK SHAREEF,Independent,204,4,208
SIDDHARTHA CHAKRAVARTHY,Independent,138,0,138
SURABHI SINGH,Independent,213,0,213
SHIV SHANKAR REDDY.S,Independent,142,1,143
NOTA,None of the Above,1327,2,1329
,Total,176857,1325,178182
