Round 14 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,421,53,474
MAGANTI GOPINATH,Bharat Rashtra Samithi,38372,2702,41074
MOHAMMED AZHARUDDIN,Indian National Congress,33151,2279,35430
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5841,43,5884
LANKALA DEEPAK REDDY,Bharatiya Janata Party,12174,1097,13271
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,103,3,106
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,446,23,469
M.PRASUNAMBA,Navarang Congress Party,56,0,56
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,25,3,28
ANAND RAO,Independent,23,5,28
MACHCHERLA VENKAT REDDY,Independent,30,8,38
MOHAMMED AKBARUDDIN,Independent,54,3,57
MOHAMMED ISMAIL KHAN,Independent,30,2,32
VANAPARTHY RAMBABU,Independent,56,6,62
SHAIK KAREEM,Independent,103,5,108
SHAIK SHAREEF,Independent,104,8,112
SIDDHARTHA CHAKRAVARTHY,Independent,70,5,75
SURABHI SINGH,Independent,100,4,104
SHIV SHANKAR REDDY.S,Independent,73,6,79
NOTA,None of the Above,632,55,687
,Total,91864,6310,98174
