Round 15 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,474,22,496
MAGANTI GOPINATH,Bharat Rashtra Samithi,41074,2516,43590
MOHAMMED AZHARUDDIN,Indian National Congress,35430,2063,37493
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5884,45,5929
LANKALA DEEPAK REDDY,Bharatiya Janata Party,13271,1070,14341
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,106,2,108
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,469,33,502
M.PRASUNAMBA,Navarang Congress Party,56,2,58
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,28,4,32
ANAND RAO,Independent,28,1,29
MACHCHERLA VENKAT REDDY,Independent,38,4,42
MOHAMMED AKBARUDDIN,Independent,57,1,58
MOHAMMED ISMAIL KHAN,Independent,32,1,33
VANAPARTHY RAMBABU,Independent,62,5,67
SHAIK KAREEM,Independent,108,3,111
SHAIK SHAREEF,Independent,112,4,116
SIDDHARTHA CHAKRAVARTHY,Independent,75,5,80
SURABHI SINGH,Independent,104,4,108
SHIV SHANKAR REDDY.S,Independent,79,3,82
NOTA,None of the Above,687,66,753
,Total,98174,5854,104028
