Round 9 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,232,32,264
MAGANTI GOPINATH,Bharat Rashtra Samithi,22066,2733,24799
MOHAMMED AZHARUDDIN,Indian National Congress,20878,2774,23652
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5254,20,5274
LANKALA DEEPAK REDDY,Bharatiya Janata Party,7908,1115,9023
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,59,7,66
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,268,27,295
M.PRASUNAMBA,Navarang Congress Party,33,2,35
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,15,2,17
ANAND RAO,Independent,13,1,14
MACHCHERLA VENKAT REDDY,Independent,17,1,18
MOHAMMED AKBARUDDIN,Independent,41,4,45
MOHAMMED ISMAIL KHAN,Independent,20,1,21
VANAPARTHY RAMBABU,Independent,31,3,34
SHAIK KAREEM,Independent,52,5,57
SHAIK SHAREEF,Independent,67,3,70
SIDDHARTHA CHAKRAVARTHY,Independent,37,7,44
SURABHI SINGH,Independent,66,4,70
SHIV SHANKAR REDDY.S,Independent,48,3,51
NOTA,None of the Above,383,75,458
,Total,57488,6819,64307
