Round 10 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,264,30,294
MAGANTI GOPINATH,Bharat Rashtra Samithi,24799,2772,27571
MOHAMMED AZHARUDDIN,Indian National Congress,23652,2271,25923
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5274,63,5337
LANKALA DEEPAK REDDY,Bharatiya Janata Party,9023,1118,10141
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,66,9,75
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,295,31,326
M.PRASUNAMBA,Navarang Congress Party,35,4,39
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,17,1,18
ANAND RAO,Independent,14,1,15
MACHCHERLA VENKAT REDDY,Independent,18,2,20
MOHAMMED AKBARUDDIN,Independent,45,1,46
MOHAMMED ISMAIL KHAN,Independent,21,1,22
VANAPARTHY RAMBABU,Independent,34,4,38
SHAIK KAREEM,Independent,57,3,60
SHAIK SHAREEF,Independent,70,12,82
SIDDHARTHA CHAKRAVARTHY,Independent,44,4,48
SURABHI SINGH,Independent,70,5,75
SHIV SHANKAR REDDY.S,Independent,51,2,53
NOTA,None of the Above,458,53,511
,Total,64307,6387,70694
