Round 25 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,797,27,824
MAGANTI GOPINATH,Bharat Rashtra Samithi,73586,4115,77701
MOHAMMED AZHARUDDIN,Indian National Congress,58707,3079,61786
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,7258,454,7712
LANKALA DEEPAK REDDY,Bharatiya Janata Party,24462,517,24979
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,182,6,188
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,849,43,892
M.PRASUNAMBA,Navarang Congress Party,112,5,117
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,68,5,73
ANAND RAO,Independent,48,2,50
MACHCHERLA VENKAT REDDY,Independent,63,1,64
MOHAMMED AKBARUDDIN,Independent,82,4,86
MOHAMMED ISMAIL KHAN,Independent,53,5,58
VANAPARTHY RAMBABU,Independent,106,1,107
SHAIK KAREEM,Independent,186,10,196
SHAIK SHAREEF,Independent,198,6,204
SIDDHARTHA CHAKRAVARTHY,Independent,133,5,138
SURABHI SINGH,Independent,203,10,213
SHIV SHANKAR REDDY.S,Independent,133,9,142
NOTA,None of the Above,1296,31,1327
,Total,168522,8335,176857
