Round 16 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,496,16,512
MAGANTI GOPINATH,Bharat Rashtra Samithi,43590,2539,46129
MOHAMMED AZHARUDDIN,Indian National Congress,37493,2158,39651
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5929,38,5967
LANKALA DEEPAK REDDY,Bharatiya Janata Party,14341,970,15311
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,108,5,113
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,502,36,538
M.PRASUNAMBA,Navarang Congress Party,58,7,65
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,32,1,33
ANAND RAO,Independent,29,1,30
MACHCHERLA VENKAT REDDY,Independent,42,3,45
MOHAMMED AKBARUDDIN,Independent,58,2,60
MOHAMMED ISMAIL KHAN,Independent,33,1,34
VANAPARTHY RAMBABU,Independent,67,1,68
SHAIK KAREEM,Independent,111,9,120
SHAIK SHAREEF,Independent,116,6,122
SIDDHARTHA CHAKRAVARTHY,Independent,80,5,85
SURABHI SINGH,Independent,108,3,111
SHIV SHANKAR REDDY.S,Independent,82,2,84
NOTA,None of the Above,753,64,817
,Total,104028,5867,109895
