Round 22 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,675,44,719
MAGANTI GOPINATH,Bharat Rashtra Samithi,62680,3827,66507
MOHAMMED AZHARUDDIN,Indian National Congress,51756,2463,54219
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,6633,158,6791
LANKALA DEEPAK REDDY,Bharatiya Janata Party,20832,1415,22247
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,156,9,165
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,706,63,769
M.PRASUNAMBA,Navarang Congress Party,91,9,100
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,52,7,59
ANAND RAO,Independent,41,2,43
MACHCHERLA VENKAT REDDY,Independent,51,0,51
MOHAMMED AKBARUDDIN,Independent,72,4,76
MOHAMMED ISMAIL KHAN,Independent,44,3,47
VANAPARTHY RAMBABU,Independent,92,3,95
SHAIK KAREEM,Independent,154,13,167
SHAIK SHAREEF,Independent,164,18,182
SIDDHARTHA CHAKRAVARTHY,Independent,121,4,125
SURABHI SINGH,Independent,148,12,160
SHIV SHANKAR REDDY.S,Independent,113,3,116
NOTA,None of the Above,1122,64,1186
,Total,145703,8121,153824
