Round 27 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,828,13,841
MAGANTI GOPINATH,Bharat Rashtra Samithi,78282,2046,80328
MOHAMMED AZHARUDDIN,Indian National Congress,62343,1495,63838
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,7768,61,7829
LANKALA DEEPAK REDDY,Bharatiya Janata Party,25083,673,25756
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,189,1,190
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,901,23,924
M.PRASUNAMBA,Navarang Congress Party,121,1,122
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,73,1,74
ANAND RAO,Independent,51,1,52
MACHCHERLA VENKAT REDDY,Independent,64,0,64
MOHAMMED AKBARUDDIN,Independent,87,2,89
MOHAMMED ISMAIL KHAN,Independent,58,0,58
VANAPARTHY RAMBABU,Independent,107,2,109
SHAIK KAREEM,Independent,196,3,199
SHAIK SHAREEF,Independent,208,4,212
SIDDHARTHA CHAKRAVARTHY,Independent,138,6,144
SURABHI SINGH,Independent,213,9,222
SHIV SHANKAR REDDY.S,Independent,143,6,149
NOTA,None of the Above,1329,38,1367
,Total,178182,4385,182567
