Round 7 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,144,58,202
MAGANTI GOPINATH,Bharat Rashtra Samithi,14598,4177,18775
MOHAMMED AZHARUDDIN,Indian National Congress,15238,2802,18040
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,4825,226,5051
LANKALA DEEPAK REDDY,Bharatiya Janata Party,6318,752,7070
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,37,13,50
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,174,53,227
M.PRASUNAMBA,Navarang Congress Party,16,13,29
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,8,3,11
ANAND RAO,Independent,9,3,12
MACHCHERLA VENKAT REDDY,Independent,9,2,11
MOHAMMED AKBARUDDIN,Independent,29,4,33
MOHAMMED ISMAIL KHAN,Independent,14,3,17
VANAPARTHY RAMBABU,Independent,16,12,28
SHAIK KAREEM,Independent,29,16,45
SHAIK SHAREEF,Independent,43,16,59
SIDDHARTHA CHAKRAVARTHY,Independent,25,7,32
SURABHI SINGH,Independent,46,14,60
SHIV SHANKAR REDDY.S,Independent,31,13,44
NOTA,None of the Above,265,39,304
,Total,41874,8226,50100
