Round 17 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,512,18,530
MAGANTI GOPINATH,Bharat Rashtra Samithi,46129,2488,48617
MOHAMMED AZHARUDDIN,Indian National Congress,39651,2116,41767
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5967,37,6004
LANKALA DEEPAK REDDY,Bharatiya Janata Party,15311,630,15941
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,113,7,120
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,538,17,555
M.PRASUNAMBA,Navarang Congress Party,65,1,66
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,33,1,34
ANAND RAO,Independent,30,2,32
MACHCHERLA VENKAT REDDY,Independent,45,1,46
MOHAMMED AKBARUDDIN,Independent,60,2,62
MOHAMMED ISMAIL KHAN,Independent,34,1,35
VANAPARTHY RAMBABU,Independent,68,2,70
SHAIK KAREEM,Independent,120,7,127
SHAIK SHAREEF,Independent,122,7,129
SIDDHARTHA CHAKRAVARTHY,Independent,85,4,89
SURABHI SINGH,Independent,111,0,111
SHIV SHANKAR REDDY.S,Independent,84,0,84
NOTA,None of the Above,817,38,855
,Total,109895,5379,115274
