Round 2 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,32,24,56
MAGANTI GOPINATH,Bharat Rashtra Samithi,2619,2647,5266
MOHAMMED AZHARUDDIN,Indian National Congress,2313,1828,4141
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,750,587,1337
LANKALA DEEPAK REDDY,Bharatiya Janata Party,1324,1936,3260
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,5,10,15
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,30,29,59
M.PRASUNAMBA,Navarang Congress Party,3,5,8
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,2,3,5
ANAND RAO,Independent,1,3,4
MACHCHERLA VENKAT REDDY,Independent,1,0,1
MOHAMMED AKBARUDDIN,Independent,6,4,10
MOHAMMED ISMAIL KHAN,Independent,4,1,5
VANAPARTHY RAMBABU,Independent,2,2,4
SHAIK KAREEM,Independent,3,1,4
SHAIK SHAREEF,Independent,9,7,16
SIDDHARTHA CHAKRAVARTHY,Independent,4,7,11
SURABHI SINGH,Independent,9,4,13
SHIV SHANKAR REDDY.S,Independent,1,4,5
NOTA,None of the Above,35,52,87
,Total,7153,7154,14307
