Round 19 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,564,25,589
MAGANTI GOPINATH,Bharat Rashtra Samithi,51837,2925,54762
MOHAMMED AZHARUDDIN,Indian National Congress,44036,2550,46586
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,6108,37,6145
LANKALA DEEPAK REDDY,Bharatiya Janata Party,16832,1489,18321
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,132,8,140
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,588,23,611
M.PRASUNAMBA,Navarang Congress Party,72,8,80
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,41,3,44
ANAND RAO,Independent,35,3,38
MACHCHERLA VENKAT REDDY,Independent,46,2,48
MOHAMMED AKBARUDDIN,Independent,66,2,68
MOHAMMED ISMAIL KHAN,Independent,36,1,37
VANAPARTHY RAMBABU,Independent,71,3,74
SHAIK KAREEM,Independent,130,6,136
SHAIK SHAREEF,Independent,131,3,134
SIDDHARTHA CHAKRAVARTHY,Independent,95,7,102
SURABHI SINGH,Independent,115,5,120
SHIV SHANKAR REDDY.S,Independent,91,5,96
NOTA,None of the Above,931,83,1014
,Total,121957,7188,129145
