Round 8 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,202,30,232
MAGANTI GOPINATH,Bharat Rashtra Samithi,18775,3291,22066
MOHAMMED AZHARUDDIN,Indian National Congress,18040,2838,20878
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5051,203,5254
LANKALA DEEPAK REDDY,Bharatiya Janata Party,7070,838,7908
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,50,9,59
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,227,41,268
M.PRASUNAMBA,Navarang Congress Party,29,4,33
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,11,4,15
ANAND RAO,Independent,12,1,13
MACHCHERLA VENKAT REDDY,Independent,11,6,17
MOHAMMED AKBARUDDIN,Independent,33,8,41
MOHAMMED ISMAIL KHAN,Independent,17,3,20
VANAPARTHY RAMBABU,Independent,28,3,31
SHAIK KAREEM,Independent,45,7,52
SHAIK SHAREEF,Independent,59,8,67
SIDDHARTHA CHAKRAVARTHY,Independent,32,5,37
SURABHI SINGH,Independent,60,6,66
SHIV SHANKAR REDDY.S,Independent,44,4,48
NOTA,None of the Above,304,79,383
,Total,50100,7388,57488
