Round 20 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,589,56,645
MAGANTI GOPINATH,Bharat Rashtra Samithi,54762,3437,58199
MOHAMMED AZHARUDDIN,Indian National Congress,46586,2333,48919
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,6145,64,6209
LANKALA DEEPAK REDDY,Bharatiya Janata Party,18321,1721,20042
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,140,7,147
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,611,35,646
M.PRASUNAMBA,Navarang Congress Party,80,4,84
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,44,4,48
ANAND RAO,Independent,38,1,39
MACHCHERLA VENKAT REDDY,Independent,48,2,50
MOHAMMED AKBARUDDIN,Independent,68,3,71
MOHAMMED ISMAIL KHAN,Independent,37,4,41
VANAPARTHY RAMBABU,Independent,74,9,83
SHAIK KAREEM,Independent,136,12,148
SHAIK SHAREEF,Independent,134,9,143
SIDDHARTHA CHAKRAVARTHY,Independent,102,9,111
SURABHI SINGH,Independent,120,7,127
SHIV SHANKAR REDDY.S,Independent,96,7,103
NOTA,None of the Above,1014,71,1085
,Total,129145,7795,136940
