Round 4 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,90,7,97
MAGANTI GOPINATH,Bharat Rashtra Samithi,7667,1520,9187
MOHAMMED AZHARUDDIN,Indian National Congress,6617,3223,9840
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,2374,1631,4005
LANKALA DEEPAK REDDY,Bharatiya Janata Party,3927,66,3993
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,20,2,22
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,88,23,111
M.PRASUNAMBA,Navarang Congress Party,10,0,10
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,7,1,8
ANAND RAO,Independent,4,3,7
MACHCHERLA VENKAT REDDY,Independent,3,1,4
MOHAMMED AKBARUDDIN,Independent,13,7,20
MOHAMMED ISMAIL KHAN,Independent,7,2,9
VANAPARTHY RAMBABU,Independent,9,2,11
SHAIK KAREEM,Independent,18,0,18
SHAIK SHAREEF,Independent,20,10,30
SIDDHARTHA CHAKRAVARTHY,Independent,16,0,16
SURABHI SINGH,Independent,16,7,23
SHIV SHANKAR REDDY.S,Independent,12,11,23
NOTA,None of the Above,132,22,154
,Total,21050,6538,27588
