Round 5 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,97,9,106
MAGANTI GOPINATH,Bharat Rashtra Samithi,9187,2214,11401
MOHAMMED AZHARUDDIN,Indian National Congress,9840,2653,12493
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,4005,737,4742
LANKALA DEEPAK REDDY,Bharatiya Janata Party,3993,870,4863
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,22,4,26
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,111,36,147
M.PRASUNAMBA,Navarang Congress Party,10,1,11
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,8,0,8
ANAND RAO,Independent,7,2,9
MACHCHERLA VENKAT REDDY,Independent,4,3,7
MOHAMMED AKBARUDDIN,Independent,20,3,23
MOHAMMED ISMAIL KHAN,Independent,9,4,13
VANAPARTHY RAMBABU,Independent,11,1,12
SHAIK KAREEM,Independent,18,4,22
SHAIK SHAREEF,Independent,30,4,34
SIDDHARTHA CHAKRAVARTHY,Independent,16,1,17
SURABHI SINGH,Independent,23,4,27
SHIV SHANKAR REDDY.S,Independent,23,3,26
NOTA,None of the Above,154,44,198
,Total,27588,6597,34185
