Round 24 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,769,28,797
MAGANTI GOPINATH,Bharat Rashtra Samithi,69805,3781,73586
MOHAMMED AZHARUDDIN,Indian National Congress,56254,2453,58707
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,6931,327,7258
LANKALA DEEPAK REDDY,Bharatiya Janata Party,23519,943,24462
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,171,11,182
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,806,43,849
M.PRASUNAMBA,Navarang Congress Party,107,5,112
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,65,3,68
ANAND RAO,Independent,45,3,48
MACHCHERLA VENKAT REDDY,Independent,57,6,63
MOHAMMED AKBARUDDIN,Independent,79,3,82
MOHAMMED ISMAIL KHAN,Independent,48,5,53
VANAPARTHY RAMBABU,Independent,99,7,106
SHAIK KAREEM,Independent,176,10,186
SHAIK SHAREEF,Independent,186,12,198
SIDDHARTHA CHAKRAVARTHY,Independent,130,3,133
SURABHI SINGH,Independent,178,25,203
SHIV SHANKAR REDDY.S,Independent,120,13,133
NOTA,None of the Above,1243,53,1296
,Total,160788,7734,168522
