Round 1 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,0,32,32
MAGANTI GOPINATH,Bharat Rashtra Samithi,0,2619,2619
MOHAMMED AZHARUDDIN,Indian National Congress,0,2313,2313
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,0,750,750
LANKALA DEEPAK REDDY,Bharatiya Janata Party,0,1324,1324
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,0,5,5
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,0,30,30
M.PRASUNAMBA,Navarang Congress Party,0,3,3
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,0,2,2
ANAND RAO,Independent,0,1,1
MACHCHERLA VENKAT REDDY,Independent,0,1,1
MOHAMMED AKBARUDDIN,Independent,0,6,6
MOHAMMED ISMAIL KHAN,Independent,0,4,4
VANAPARTHY RAMBABU,Independent,0,2,2
SHAIK KAREEM,Independent,0,3,3
SHAIK SHAREEF,Independent,0,9,9
SIDDHARTHA CHAKRAVARTHY,Independent,0,4,4
SURABHI SINGH,Independent,0,9,9
SHIV SHANKAR REDDY.S,Independent,0,1,1
NOTA,None of the Above,0,35,35
,Total,0,7153,7153
