Round 21 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,645,30,675
MAGANTI GOPINATH,Bharat Rashtra Samithi,58199,4481,62680
MOHAMMED AZHARUDDIN,Indian National Congress,48919,2837,51756
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,6209,424,6633
LANKALA DEEPAK REDDY,Bharatiya Janata Party,20042,790,20832
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,147,9,156
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,646,60,706
M.PRASUNAMBA,Navarang Congress Party,84,7,91
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,48,4,52
ANAND RAO,Independent,39,2,41
MACHCHERLA VENKAT REDDY,Independent,50,1,51
MOHAMMED AKBARUDDIN,Independent,71,1,72
MOHAMMED ISMAIL KHAN,Independent,41,3,44
VANAPARTHY RAMBABU,Independent,83,9,92
SHAIK KAREEM,Independent,148,6,154
SHAIK SHAREEF,Independent,143,21,164
SIDDHARTHA CHAKRAVARTHY,Independent,111,10,121
SURABHI SINGH,Independent,127,21,148
SHIV SHANKAR REDDY.S,Independent,103,10,113
NOTA,None of the Above,1085,37,1122
,Total,136940,8763,145703
