Round 18 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,530,34,564
MAGANTI GOPINATH,Bharat Rashtra Samithi,48617,3220,51837
MOHAMMED AZHARUDDIN,Indian National Congress,41767,2269,44036
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,6004,104,6108
LANKALA DEEPAK REDDY,Bharatiya Janata Party,15941,891,16832
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,120,12,132
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,555,33,588
M.PRASUNAMBA,Navarang Congress Party,66,6,72
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,34,7,41
ANAND RAO,Independent,32,3,35
MACHCHERLA VENKAT REDDY,Independent,46,0,46
MOHAMMED AKBARUDDIN,Independent,62,4,66
MOHAMMED ISMAIL KHAN,Independent,35,1,36
VANAPARTHY RAMBABU,Independent,70,1,71
SHAIK KAREEM,Independent,127,3,130
SHAIK SHAREEF,Independent,129,2,131
SIDDHARTHA CHAKRAVARTHY,Independent,89,6,95
SURABHI SINGH,Independent,111,4,115
SHIV SHANKAR REDDY.S,Independent,84,7,91
NOTA,None of the Above,855,76,931
,Total,115274,6683,121957
