Round 13 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,365,56,421
MAGANTI GOPINATH,Bharat Rashtra Samithi,34869,3503,38372
MOHAMMED AZHARUDDIN,Indian National Congress,30435,2716,33151
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5686,155,5841
LANKALA DEEPAK REDDY,Bharatiya Janata Party,11431,743,12174
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,97,6,103
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,405,41,446
M.PRASUNAMBA,Navarang Congress Party,46,10,56
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,24,1,25
ANAND RAO,Independent,18,5,23
MACHCHERLA VENKAT REDDY,Independent,27,3,30
MOHAMMED AKBARUDDIN,Independent,52,2,54
MOHAMMED ISMAIL KHAN,Independent,25,5,30
VANAPARTHY RAMBABU,Independent,50,6,56
SHAIK KAREEM,Independent,88,15,103
SHAIK SHAREEF,Independent,93,11,104
SIDDHARTHA CHAKRAVARTHY,Independent,67,3,70
SURABHI SINGH,Independent,95,5,100
SHIV SHANKAR REDDY.S,Independent,67,6,73
NOTA,None of the Above,594,38,632
,Total,84534,7330,91864
