Round 12 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,335,30,365
MAGANTI GOPINATH,Bharat Rashtra Samithi,31582,3287,34869
MOHAMMED AZHARUDDIN,Indian National Congress,28331,2104,30435
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5509,177,5686
LANKALA DEEPAK REDDY,Bharatiya Janata Party,10993,438,11431
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,89,8,97
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,367,38,405
M.PRASUNAMBA,Navarang Congress Party,44,2,46
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,20,4,24
ANAND RAO,Independent,17,1,18
MACHCHERLA VENKAT REDDY,Independent,25,2,27
MOHAMMED AKBARUDDIN,Independent,48,4,52
MOHAMMED ISMAIL KHAN,Independent,24,1,25
VANAPARTHY RAMBABU,Independent,43,7,50
SHAIK KAREEM,Independent,77,11,88
SHAIK SHAREEF,Independent,87,6,93
SIDDHARTHA CHAKRAVARTHY,Independent,58,9,67
SURABHI SINGH,Independent,88,7,95
SHIV SHANKAR REDDY.S,Independent,57,10,67
NOTA,None of the Above,573,21,594
,Total,78367,6167,84534
