,Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total,Round
395,SURABHI SINGH,Independent,104,4,108,15
396,SHIV SHANKAR REDDY.S,Independent,79,3,82,15
397,NOTA,None of the Above,687,66,753,15
398,,Total,98174,5854,104028,15
399,KONETI SUJATHA,Bahujan Samaj Party,512,18,530,17
400,MAGANTI GOPINATH,Bharat Rashtra Samithi,46129,2488,48617,17
401,MOHAMMED AZHARUDDIN,Indian National Congress,39651,2116,41767,17
402,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5967,37,6004,17
403,LANKALA DEEPAK REDDY,Bharatiya Janata Party,15311,630,15941,17
404,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,113,7,120,17
405,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,538,17,555,17
406,M.PRASUNAMBA,Navarang Congress Party,65,1,66,17
407,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,33,1,34,17
408,ANAND RAO,Independent,30,2,32,17
409,MACHCHERLA VENKAT REDDY,Independent,45,1,46,17
410,MOHAMMED AKBARUDDIN,Independent,60,2,62,17
411,MOHAMMED ISMAIL KHAN,Independent,34,1,35,17
412,VANAPARTHY RAMBABU,Independent,68,2,70,17
413,SHAIK KAREEM,Independent,120,7,127,17
414,SHAIK SHAREEF,Independent,122,7,129,17
415,SIDDHARTHA CHAKRAVARTHY,Independent,85,4,89,17
416,SURABHI SINGH,Independent,111,0,111,17
417,SHIV SHANKAR REDDY.S,Independent,84,0,84,17
418,NOTA,None of the Above,817,38,855,17
419,,Total,109895,5379,115274,17
420,KONETI SUJATHA,Bahujan Samaj Party,530,34,564,18
421,MAGANTI GOPINATH,Bharat Rashtra Samithi,48617,3220,51837,18
422,MOHAMMED AZHARUDDIN,Indian National Congress,41767,2269,44036,18
423,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,6004,104,6108,18
424,LANKALA DEEPAK REDDY,Bharatiya Janata Party,15941,891,16832,18
425,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,120,12,132,18
426,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,555,33,588,18
427,M.PRASUNAMBA,Navarang Congress Party,66,6,72,18
428,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,34,7,41,18
429,ANAND RAO,Independent,32,3,35,18
430,MACHCHERLA VENKAT REDDY,Independent,46,0,46,18
431,MOHAMMED AKBARUDDIN,Independent,62,4,66,18
432,MOHAMMED ISMAIL KHAN,Independent,35,1,36,18
433,VANAPARTHY RAMBABU,Independent,70,1,71,18
434,SHAIK KAREEM,Independent,127,3,130,18
435,SHAIK SHAREEF,Independent,129,2,131,18
436,SIDDHARTHA CHAKRAVARTHY,Independent,89,6,95,18
437,SURABHI SINGH,Independent,111,4,115,18
438,SHIV SHANKAR REDDY.S,Independent,84,7,91,18
439,NOTA,None of the Above,855,76,931,18
440,,Total,115274,6683,121957,18
441,KONETI SUJATHA,Bahujan Samaj Party,232,32,264,9
442,MAGANTI GOPINATH,Bharat Rashtra Samithi,22066,2733,24799,9
443,MOHAMMED AZHARUDDIN,Indian National Congress,20878,2774,23652,9
444,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5254,20,5274,9
445,LANKALA DEEPAK REDDY,Bharatiya Janata Party,7908,1115,9023,9
446,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,59,7,66,9
447,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,268,27,295,9
448,M.PRASUNAMBA,Navarang Congress Party,33,2,35,9
449,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,15,2,17,9
