,Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total,Round
150,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,4742,83,4825,6
151,LANKALA DEEPAK REDDY,Bharatiya Janata Party,4863,1455,6318,6
152,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,26,11,37,6
153,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,147,27,174,6
154,M.PRASUNAMBA,Navarang Congress Party,11,5,16,6
155,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,8,0,8,6
156,ANAND RAO,Independent,9,0,9,6
157,MACHCHERLA VENKAT REDDY,Independent,7,2,9,6
158,MOHAMMED AKBARUDDIN,Independent,23,6,29,6
159,MOHAMMED ISMAIL KHAN,Independent,13,1,14,6
160,VANAPARTHY RAMBABU,Independent,12,4,16,6
161,SHAIK KAREEM,Independent,22,7,29,6
162,SHAIK SHAREEF,Independent,34,9,43,6
163,SIDDHARTHA CHAKRAVARTHY,Independent,17,8,25,6
164,SURABHI SINGH,Independent,27,19,46,6
165,SHIV SHANKAR REDDY.S,Independent,26,5,31,6
166,NOTA,None of the Above,198,67,265,6
167,,Total,34185,7689,41874,6
168,KONETI SUJATHA,Bahujan Samaj Party,32,24,56,2
169,MAGANTI GOPINATH,Bharat Rashtra Samithi,2619,2647,5266,2
170,MOHAMMED AZHARUDDIN,Indian National Congress,2313,1828,4141,2
171,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,750,587,1337,2
172,LANKALA DEEPAK REDDY,Bharatiya Janata Party,1324,1936,3260,2
173,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,5,10,15,2
174,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,30,29,59,2
175,M.PRASUNAMBA,Navarang Congress Party,3,5,8,2
176,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,2,3,5,2
177,ANAND RAO,Independent,1,3,4,2
178,MACHCHERLA VENKAT REDDY,Independent,1,0,1,2
179,MOHAMMED AKBARUDDIN,Independent,6,4,10,2
180,MOHAMMED ISMAIL KHAN,Independent,4,1,5,2
181,VANAPARTHY RAMBABU,Independent,2,2,4,2
182,SHAIK KAREEM,Independent,3,1,4,2
183,SHAIK SHAREEF,Independent,9,7,16,2
184,SIDDHARTHA CHAKRAVARTHY,Independent,4,7,11,2
185,SURABHI SINGH,Independent,9,4,13,2
186,SHIV SHANKAR REDDY.S,Independent,1,4,5,2
187,NOTA,None of the Above,35,52,87,2
188,,Total,7153,7154,14307,2
189,KONETI SUJATHA,Bahujan Samaj Party,828,13,841,27
190,MAGANTI GOPINATH,Bharat Rashtra Samithi,78282,2046,80328,27
191,MOHAMMED AZHARUDDIN,Indian National Congress,62343,1495,63838,27
192,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,7768,61,7829,27
193,LANKALA DEEPAK REDDY,Bharatiya Janata Party,25083,673,25756,27
194,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,189,1,190,27
195,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,901,23,924,27
196,M.PRASUNAMBA,Navarang Congress Party,121,1,122,27
197,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,73,1,74,27
198,ANAND RAO,Independent,51,1,52,27
199,MACHCHERLA VENKAT REDDY,Independent,64,0,64,27
200,MOHAMMED AKBARUDDIN,Independent,87,2,89,27
201,MOHAMMED ISMAIL KHAN,Independent,58,0,58,27
202,VANAPARTHY RAMBABU,Independent,107,2,109,27
203,SHAIK KAREEM,Independent,196,3,199,27
204,SHAIK SHAREEF,Independent,208,4,212,27
205,SIDDHARTHA CHAKRAVARTHY,Independent,138,6,144,27
206,SURABHI SINGH,Independent,213,9,222,27
207,SHIV SHANKAR REDDY.S,Independent,143,6,149,27
208,NOTA,None of the Above,1329,38,1367,27
209,,Total,178182,4385,182567,27
210,KONETI SUJATHA,Bahujan Samaj Party,0,32,32,1
211,MAGANTI GOPINATH,Bharat Rashtra Samithi,0,2619,2619,1
212,MOHAMMED AZHARUDDIN,Indian National Congress,0,2313,2313,1
213,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,0,750,750,1
214,LANKALA DEEPAK REDDY,Bharatiya Janata Party,0,1324,1324,1
215,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,0,5,5,1
216,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,0,30,30,1
217,M.PRASUNAMBA,Navarang Congress Party,0,3,3,1
218,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,0,2,2,1
219,ANAND RAO,Independent,0,1,1,1
220,MACHCHERLA VENKAT REDDY,Independent,0,1,1,1
221,MOHAMMED AKBARUDDIN,Independent,0,6,6,1
222,MOHAMMED ISMAIL KHAN,Independent,0,4,4,1
223,VANAPARTHY RAMBABU,Independent,0,2,2,1
224,SHAIK KAREEM,Independent,0,3,3,1
225,SHAIK SHAREEF,Independent,0,9,9,1
226,SIDDHARTHA CHAKRAVARTHY,Independent,0,4,4,1
227,SURABHI SINGH,Independent,0,9,9,1
228,SHIV SHANKAR REDDY.S,Independent,0,1,1,1
229,NOTA,None of the Above,0,35,35,1
230,,Total,0,7153,7153,1
231,KONETI SUJATHA,Bahujan Samaj Party,56,34,90,3
232,MAGANTI GOPINATH,Bharat Rashtra Samithi,5266,2401,7667,3
233,MOHAMMED AZHARUDDIN,Indian National Congress,4141,2476,6617,3
234,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,1337,1037,2374,3
235,LANKALA DEEPAK REDDY,Bharatiya Janata Party,3260,667,3927,3
236,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,15,5,20,3
237,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,59,29,88,3
238,M.PRASUNAMBA,Navarang Congress Party,8,2,10,3
239,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,5,2,7,3
240,ANAND RAO,Independent,4,0,4,3
241,MACHCHERLA VENKAT REDDY,Independent,1,2,3,3
242,MOHAMMED AKBARUDDIN,Independent,10,3,13,3
243,MOHAMMED ISMAIL KHAN,Independent,5,2,7,3
244,VANAPARTHY RAMBABU,Independent,4,5,9,3
245,SHAIK KAREEM,Independent,4,14,18,3
246,SHAIK SHAREEF,Independent,16,4,20,3
247,SIDDHARTHA CHAKRAVARTHY,Independent,11,5,16,3
248,SURABHI SINGH,Independent,13,3,16,3
249,SHIV SHANKAR REDDY.S,Independent,5,7,12,3
250,NOTA,None of the Above,87,45,132,3
251,,Total,14307,6743,21050,3
252,KONETI SUJATHA,Bahujan Samaj Party,824,4,828,26
253,MAGANTI GOPINATH,Bharat Rashtra Samithi,77701,581,78282,26
254,MOHAMMED AZHARUDDIN,Indian National Congress,61786,557,62343,26
255,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,7712,56,7768,26
256,LANKALA DEEPAK REDDY,Bharatiya Janata Party,24979,104,25083,26
257,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,188,1,189,26
258,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,892,9,901,26
259,M.PRASUNAMBA,Navarang Congress Party,117,4,121,26
260,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,73,0,73,26
261,ANAND RAO,Independent,50,1,51,26
262,MACHCHERLA VENKAT REDDY,Independent,64,0,64,26
263,MOHAMMED AKBARUDDIN,Independent,86,1,87,26
264,MOHAMMED ISMAIL KHAN,Independent,58,0,58,26
265,VANAPARTHY RAMBABU,Independent,107,0,107,26
266,SHAIK KAREEM,Independent,196,0,196,26
267,SHAIK SHAREEF,Independent,204,4,208,26
268,SIDDHARTHA CHAKRAVARTHY,Independent,138,0,138,26
269,SURABHI SINGH,Independent,213,0,213,26
270,SHIV SHANKAR REDDY.S,Independent,142,1,143,26
271,NOTA,None of the Above,1327,2,1329,26
272,,Total,176857,1325,178182,26
273,KONETI SUJATHA,Bahujan Samaj Party,589,56,645,20
274,MAGANTI GOPINATH,Bharat Rashtra Samithi,54762,3437,58199,20
275,MOHAMMED AZHARUDDIN,Indian National Congress,46586,2333,48919,20
276,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,6145,64,6209,20
277,LANKALA DEEPAK REDDY,Bharatiya Janata Party,18321,1721,20042,20
278,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,140,7,147,20
279,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,611,35,646,20
280,M.PRASUNAMBA,Navarang Congress Party,80,4,84,20
281,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,44,4,48,20
282,ANAND RAO,Independent,38,1,39,20
283,MACHCHERLA VENKAT REDDY,Independent,48,2,50,20
284,MOHAMMED AKBARUDDIN,Independent,68,3,71,20
285,MOHAMMED ISMAIL KHAN,Independent,37,4,41,20
286,VANAPARTHY RAMBABU,Independent,74,9,83,20
287,SHAIK KAREEM,Independent,136,12,148,20
288,SHAIK SHAREEF,Independent,134,9,143,20
289,SIDDHARTHA CHAKRAVARTHY,Independent,102,9,111,20
290,SURABHI SINGH,Independent,120,7,127,20
291,SHIV SHANKAR REDDY.S,Independent,96,7,103,20
292,NOTA,None of the Above,1014,71,1085,20
293,,Total,129145,7795,136940,20
294,KONETI SUJATHA,Bahujan Samaj Party,564,25,589,19
295,MAGANTI GOPINATH,Bharat Rashtra Samithi,51837,2925,54762,19
296,MOHAMMED AZHARUDDIN,Indian National Congress,44036,2550,46586,19
297,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,6108,37,6145,19
